instrument_id;name;symbol;alltime_high;first_shaken_at;first_shaken_price;recent_high;last_price
8275;ICU Medical, Inc.;ICUI;123.09;2008-04-22;23.02;123.09;94.18
8276;InterDigital, Inc.;IDCC;75.72;2002-08-02;6.77;60.47;42.94
8277;INTEGRATED DEVICE TECH INC;IDTI;35.99;2002-06-21;17.39;28.83;24.5
8278;IDEXX Laboratories, Inc.;IDXX;83.53;2008-10-24;15.91;83.53;66.36
8280;INTERVAL LEISURE GROUP;IILG;31.88;2008-10-09;7.5;27;12.59
8281;II-VI INC;IIVI;29.585;2008-10-27;11.425;19.53;16.86
8283;CHIPMOS TECHNOLOGIES BERMUDA;IMOS;60;2002-06-27;10.2;24.99;17.78
8284;INDEPENDENT BANK CORP/MA;INDB;52.17;2009-02-03;18.24;52.17;44.335
8288;BLUCORA INC;BCOR;56.63;2002-02-28;13.5;16.6;8.63
8289;AEGION CORP;AEGN;29.97;2002-07-24;14.18;22.32;17.53
8290;INTEL CORP;INTC;37.67;2002-07-01;17.54;36.445;29.925
8294;Inter Parfums, Inc.;IPAR;38.02;2004-08-03;10.3333333333333;35.04;24.21
8295;iPass Inc.;IPAS;28.22;2004-01-06;14.021;1.35;0.945
8299;Investors Bancorp, Inc.;ISBC;13.04;2009-02-17;3.08627450980392;13.04;11.47
8300;INTL SPEEDWAY CORP-CL A;ISCA;59.3;2008-10-10;27.6;37.95;31.77
8301;INTERSIL CORP-A;ISIL;37.21;2002-07-02;18.18;15.96;11.88
8302;ISLE OF CAPRI CASINOS;ISLE;33.93;2003-02-07;11.4;20.99;12.51
8303;Intuitive Surgical, Inc.;ISRG;588.28;2003-02-11;10.68;566.11;566.11
8304;INNOVATIVE SOLUTIONS & SUPP;ISSC;28.54;2005-12-13;12.26;4.42;2.59
8306;Itron, Inc.;ITRI;109.21;2002-07-18;14.82;38.69;30.96
8308;Jack In The Box Inc.;JACK;99.14;2002-12-19;8.07;99.14;77.76
8309;JAKKS Pacific, Inc.;JAKK;31.04;2002-07-23;11.48;10.16;7.34
8311;HUNT (JB) TRANSPRT SVCS INC;JBHT;92;2009-03-02;18.92;92;68.22
8312;JETBLUE AIRWAYS CORP;JBLU;31.2266666666667;2004-01-30;15.1066666666667;27.02;21.51
8313;J2 GLOBAL INC;JCOM;83.67;2003-12-15;11.325;83.67;73.11
8314;VIAVI SOLUTIONS INC;VIAV;80.16;2002-02-22;39.84;13.93;4.9
8316;Jack Henry & Associates, Inc.;JKHY;79.58;2002-07-22;11.79;79.58;78.32
8320;JINPAN INTERNATIONAL LTD;JST;25.63;2008-10-06;9.755;5.3699;4.22
8321;KIMBALL INTERNATIONAL-B;KBAL;25.92;2007-06-22;12.86;12.7;10.15
8323;KCAP FINANCIAL INC;KCAP;19.68;2008-03-06;9.75;7.61;3.23
8324;KELLY SERVICES INC -A;KELYA;33.68;2008-01-11;16.5;18.21;15.92
8325;KELLY SERVICES INC -CL B;KELYB;35.8499;2008-08-06;17;17.964;16
8326;Kforce, Inc.;KFRC;28.85;2002-07-23;2.9;28.85;22.55
8328;KLA-TENCOR CORP;KLAC;84.18;2002-08-27;34.2;69.9;65.09
8336;KRATOS DEFENSE & SECURITY;KTOS;184.4;2002-03-04;35.8;7.11;3.26
8340;Lawson Products, Inc.;LAWS;53.98;2008-02-15;26;28.28;19.28
8341;Layne Christensen Company;LAYN;58.64;2008-10-06;28.44;9.72;4.71
8342;Lakeland Bancorp, Inc.;LBAI;22.12;2007-08-03;10.52;12.37;10.8
8343;LIBERTY GLOBAL PLC-A;LBTYA;89.98;2005-09-08;25.52;58.48;33.7
8344;LIBERTY GLOBAL PLC-B;LBTYB;89.97;2005-10-13;26.2;56.81;32.2301
8345;LIBERTY GLOBAL PLC-SERIES C;LBTYK;86.92;2008-10-09;21.19;54.41;32.71
8346;STARZ - A;STRZA;128.79;2008-03-04;17.46;46.48;30.72
8347;STARZ - B;STRZB;129.19;2008-03-04;17.2;44.8601;33.65
8349;Lifetime Brands, Inc.;LCUT;30;2007-11-06;13.3;16.35;11.93
8351;LINCOLN ELECTRIC HOLDINGS;LECO;75.46;2008-10-22;20.83;72.23;46.97
8353;Littelfuse, Inc.;LFUS;114.09;2005-11-08;21.78;114.09;97.15
8358;FIDELITY SOUTHERN CORP;LION;22.93;2007-12-18;9.71;22.93;16.63
8361;LKQ CORP;LKQ;33.86;2008-10-27;5.06;31.75;26.77
8362;LINEAR TECHNOLOGY CORP;LLTC;50.43;2002-09-12;22.87;49.55;41.73
8363;SNYDERS-LANCE INC;LNCE;38.74;2003-03-21;8.22;38.74;35.07
8365;LANDEC CORP;LNDC;16.48;2002-08-21;2.2;14.92;10.71
8366;LOGITECH INTERNATIONAL-REG;LOGI;37.07;2002-09-19;6.1575;16.25;15.18
8367;LOJACK CORPORATION;LOJN;28.84;2008-01-08;14.25;5.56;5.19
8368;LIFEPOINT HEALTH INC;LPNT;87.76;2003-02-14;20.44;87.76;66.98
8369;LAM RESEARCH CORP;LRCX;84.48;2002-07-23;13.95;84.48;68.72
8370;Landstar System, Inc.;LSTR;80.38;2009-03-02;28.92;73.16;57.73
8372;lululemon athletica inc.;LULU;82.28;2008-02-21;13.515;69.77;58.03
8376;LSI Industries Inc.;LYTS;22.91;2002-08-15;7.4;12.69;10.86
